标记名称,描述,入点,出点,持续时间,标记类型,,mode,duration,percentage,times
,,164867,164911,44,注释,,,,,
,,164925,165017,92,注释,,,,,
,,165104,165113,9,注释,,,,,
,,165159,165171,12,注释,,,,,
,,165196,165208,12,注释,,,,,
,,165236,165246,10,注释,,,,,
,,165335,165339,4,注释,,,,,
,,165343,165355,12,注释,,,,,
,,165375,165381,6,注释,,,,,
,,165408,165640,232,注释,,,,,
,,165794,165800,6,注释,,,,,
,,165835,166129,294,注释,,,,,
,,166154,166213,59,注释,,,,,
,,166217,166221,4,注释,,,,,
,,166499,166561,62,注释,,,,,
10,,181150,181162,12,注释,,,,,
,,181256,181547,291,注释,,,,,
,,181686,181952,266,注释,,,,,
,,181971,182060,89,注释,,,,,
,,182101,182311,210,注释,,,,,
,,182324,182348,24,注释,,,,,
,,182365,182400,35,注释,,,,,
,,182433,182476,43,注释,,,,,
,,182526,182566,40,注释,,,,,
,,182594,182787,193,注释,,,,,
,,182852,182949,97,注释,,,,,
,,182967,183038,71,注释,,,,,
,,183058,183085,27,注释,,,,,
,,183253,183285,32,注释,,,,,
,,183300,183603,303,注释,,,,,
,,183647,183693,46,注释,,,,,
,,183931,184063,132,注释,,,,,
,,184243,184331,88,注释,,,,,
,,184390,184467,77,注释,,,,,
,,184511,184765,254,注释,,,,,
,,184786,184803,17,注释,,,,,
,,184824,184859,35,注释,,,,,
,,184865,185377,512,注释,,,,,
,,185435,185562,127,注释,,,,,
,,185615,185642,27,注释,,,,,
,,185669,185722,53,注释,,,,,
,,185735,185747,12,注释,,,,,
,,185774,185796,22,注释,,,,,
,,185921,185953,32,注释,,,,,
,,186192,186213,21,注释,,,,,
,,186239,186439,200,注释,,,,,
11,,201004,201131,127,注释,,,,,
,,201296,201343,47,注释,,,,,
,,201395,201427,32,注释,,,,,
,,201463,201636,173,注释,,,,,
,,201676,201690,14,注释,,,,,
,,203688,203749,61,注释,,,,,
,,203845,203947,102,注释,,,,,
,,205878,205959,81,注释,,,,,
12,,222768,222856,88,注释,,,,,
,,222905,222949,44,注释,,,,,
,,223022,223048,26,注释,,,,,
,,223163,223328,165,注释,,,,,
,,223362,223472,110,注释,,,,,
,,223513,223738,225,注释,,,,,
,,223750,223870,120,注释,,,,,
,,223906,224047,141,注释,,,,,
,,224099,224173,74,注释,,,,,
,,224193,224249,56,注释,,,,,
,,224323,224402,79,注释,,,,,
,,224433,224573,140,注释,,,,,
,,224587,224803,216,注释,,,,,
,,224815,224909,94,注释,,,,,
,,224928,224973,45,注释,,,,,
,,225062,225194,132,注释,,,,,
,,225228,225306,78,注释,,,,,
,,225405,225782,377,注释,,,,,
,,225866,226112,246,注释,,,,,
,,226159,226252,93,注释,,,,,
,,226566,226644,78,注释,,,,,
,,226705,226812,107,注释,,,,,
,,226835,226915,80,注释,,,,,
,,226978,227194,216,注释,,,,,
,,227336,227489,153,注释,,,,,
,,227576,227652,76,注释,,,,,
,,227658,227749,91,注释,,,,,
,,227755,228030,275,注释,,,,,
